weights,heights,weights(kg),heights(cm),BMI
200,"5' 9""",90.718474,,
170,"6' 2""",77.1107029,,
170,"5' 7""",77.1107029,,
170,"5' 10""",77.1107029,,
190,"5' 11""",86.1825503,,
115,"5' 3""",52.16312255,,
150,"5' 5""",68.0388555,,
165,"6' 0""",74.84274105,,
160,"5' 5""",72.5747792,,
230,"6' 0""",104.3262451,,
145,"5' 3""",65.77089365,,
220,"5' 11""",99.7903214,,
180,"5' 10""",81.6466266,,
150,"5' 7""",68.0388555,,
180,"5' 11""",81.6466266,,
170,"5' 6""",77.1107029,,
205,"5' 10""",92.98643585,,
185,"6' 0""",83.91458845,,
185,"6' 0""",83.91458845,,
145,"5' 4""",65.77089365,,
170,"5' 11""",77.1107029,,
205,"5' 10""",92.98643585,,
200,"5' 8""",90.718474,,
170,"6' 1""",77.1107029,,
170,"5' 11""",77.1107029,,
145,"5' 7""",65.77089365,,
145,"5' 7""",65.77089365,,
145,"5' 7""",65.77089365,,
180,"6' 5""",81.6466266,,
190,"5' 6""",86.1825503,,
160,"5' 9""",72.5747792,,
248,"6' 1""",112.4909078,,
160,"5' 8""",72.5747792,,
160,"6' 2""",72.5747792,,
180,"5' 6""",81.6466266,,
180,"5' 6""",81.6466266,,
180,"5' 6""",81.6466266,,
140,"5' 8""",63.5029318,,
165,"5' 9""",74.84274105,,
160,"5' 9""",72.5747792,,
155,"5' 11""",70.30681735,,
170,"5' 8""",77.1107029,,
200,"6' 1""",90.718474,,
125,"5' 9""",56.69904625,,
180,"5' 9""",81.6466266,,
270,"6' 1""",122.4699399,,
160,"5' 4""",72.5747792,,
220,"6' 1""",99.7903214,,
150,"5' 9""",68.0388555,,
170,"5' 11""",77.1107029,,
220,"6' 3""",99.7903214,,
220,"6' 3""",99.7903214,,
136,"5' 6""",61.68856232,,
130,"5' 3""",58.9670081,,
180,"5' 10""",81.6466266,,
150,"5' 9""",68.0388555,,
150,"6' 0""",68.0388555,,
110,"5' 3""",49.8951607,,
190,"6' 2""",86.1825503,,
165,"5' 5""",74.84274105,,
200,"5' 4""",90.718474,,
240,"5' 9""",108.8621688,,
150,"5' 9""",68.0388555,,
170,"6' 1""",77.1107029,,
170,"5' 10""",77.1107029,,
240,"5' 8""",108.8621688,,
240,"5' 8""",108.8621688,,
247,"5' 8""",112.0373154,,
250,"5' 9""",113.3980925,,
165,"6' 0""",74.84274105,,
110,"5' 3""",49.8951607,,
245,"6' 2""",111.1301307,,
112,"5' 7""",50.80234544,,
150,"5' 11""",68.0388555,,
205,"5' 11""",92.98643585,,
120,"5' 5""",54.4310844,,
200,"5' 11""",90.718474,,
155,"5' 9""",70.30681735,,
155,"5' 9""",70.30681735,,
155,"5' 9""",70.30681735,,
190,"5' 11""",86.1825503,,
185,"6' 2""",83.91458845,,
120,"5' 6""",54.4310844,,
130,"5' 9""",58.9670081,,
200,"5' 7""",90.718474,,
200,"5' 9""",90.718474,,
225,"6' 0""",102.0582833,,
225,"6' 0""",102.0582833,,
110,"5' 1""",49.8951607,,
130,"5' 6""",58.9670081,,
150,"5' 9""",68.0388555,,
145,"5' 2""",65.77089365,,
150,"6' 0""",68.0388555,,
150,"6' 0""",68.0388555,,
136,"5' 6""",61.68856232,,
181,"6' 2""",82.10021897,,
150,"5' 6""",68.0388555,,
150,"5' 6""",68.0388555,,
160,"6' 2""",72.5747792,,
138,"5' 0""",62.59574706,,
240,"6' 2""",108.8621688,,
123,"5' 6""",55.79186151,,
135,"5' 10""",61.23496995,,
150,"5' 9""",68.0388555,,
200,"6' 2""",90.718474,,
145,"5' 3""",65.77089365,,
205,"6' 0""",92.98643585,,
220,"5' 9""",99.7903214,,
255,"6' 2""",115.6660544,,
140,"5' 11""",63.5029318,,
140,"5' 11""",63.5029318,,
140,"5' 11""",63.5029318,,
140,"5' 8""",63.5029318,,
